Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\asserts\segment\distsql\rdl\EncryptColumnAssert.java,0,11,0,14,0,25
 shardingsphere-master\shardingsphere-master\shardingsphere-test\shardingsphere-parser-test\src\main\java\org\apache\shardingsphere\test\sql\parser\parameterized\jaxb\cases\domain\statement\distsql\rdl\drop\DropShardingAlgorithmStatementTestCase.java,0,3,0,4,0,7
 shardingsphere-master\shardingsphere-master\shardingsphere-agent\shardingsphere-agent-plugins\shardingsphere-agent-plugin-tracing\shardingsphere-agent-tracing-zipkin\src\main\java\org\apache\shardingsphere\agent\plugin\tracing\zipkin\advice\JDBCExecutorCallbackAdvice.java,0,18,1,17,0,36
 shardingsphere-master\shardingsphere-master\shardingsphere-db-protocol\shardingsphere-db-protocol-postgresql\src\main\java\org\apache\shardingsphere\db\protocol\postgresql\packet\command\query\extended\bind\protocol\PostgreSQLInt8BinaryProtocolValue.java,0,8,0,7,0,15
 shardingsphere-master\shardingsphere-master\shardingsphere-infra\shardingsphere-infra-common\src\test\java\org\apache\shardingsphere\infra\metadata\user\ShardingSphereUsersTest.java,0,4,0,4,0,8
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-core\src\test\java\org\apache\shardingsphere\sharding\route\engine\type\standard\SubqueryRouteTest.java,0,54,0,17,0,71
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-shadow\shardingsphere-shadow-core\src\main\java\org\apache\shardingsphere\shadow\rule\ShadowRule.java,0,75,0,48,0,123
 shardingsphere-master\shardingsphere-master\shardingsphere-spi\src\main\java\org\apache\shardingsphere\spi\singleton\TypedSingletonSPIHolder.java,0,15,1,5,0,21
 shardingsphere-master\shardingsphere-master\shardingsphere-proxy\shardingsphere-proxy-frontend\shardingsphere-proxy-frontend-postgresql\src\main\java\org\apache\shardingsphere\proxy\frontend\postgresql\command\query\extended\close\PostgreSQLComCloseExecutor.java,0,11,0,9,0,20
 shardingsphere-master\shardingsphere-master\shardingsphere-kernel\shardingsphere-transaction\shardingsphere-transaction-type\shardingsphere-transaction-xa\shardingsphere-transaction-xa-core\src\test\java\org\apache\shardingsphere\transaction\xa\manager\XATransactionManagerProviderLoaderTest.java,0,7,0,4,0,11
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-encrypt\shardingsphere-encrypt-api\src\main\java\org\apache\shardingsphere\encrypt\api\config\rule\EncryptColumnRuleConfiguration.java,0,28,0,3,0,31
 shardingsphere-master\shardingsphere-master\shardingsphere-proxy\shardingsphere-proxy-backend\src\main\java\org\apache\shardingsphere\proxy\backend\communication\jdbc\recognizer\spi\JDBCDriverURLRecognizer.java,0,4,0,2,0,6
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-spring\shardingsphere-sharding-spring-namespace\src\main\java\org\apache\shardingsphere\sharding\spring\namespace\factorybean\KeyGenerateAlgorithmFactoryBean.java,0,6,0,4,0,10
 shardingsphere-master\shardingsphere-master\shardingsphere-db-protocol\shardingsphere-db-protocol-opengauss\src\main\java\org\apache\shardingsphere\db\protocol\opengauss\packet\command\query\extended\bind\OpenGaussComBatchBindPacket.java,0,41,1,24,0,66
 shardingsphere-master\shardingsphere-master\shardingsphere-db-protocol\shardingsphere-db-protocol-mysql\src\main\java\org\apache\shardingsphere\db\protocol\mysql\packet\command\query\text\MySQLTextResultSetRowPacket.java,0,17,2,8,0,27
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-readwrite-splitting\shardingsphere-readwrite-splitting-core\src\main\java\org\apache\shardingsphere\readwritesplitting\route\impl\ReadwriteSplittingDataSourceRouter.java,0,14,1,11,0,26
 shardingsphere-master\shardingsphere-master\shardingsphere-features\shardingsphere-sharding\shardingsphere-sharding-core\src\main\java\org\apache\shardingsphere\sharding\algorithm\sharding\cosid\PropertiesUtil.java,0,6,1,5,0,12
 shardingsphere-master\shardingsphere-master\shardingsphere-jdbc\shardingsphere-jdbc-core\src\main\java\org\apache\shardingsphere\driver\state\circuit\connection\CircuitBreakerConnection.java,0,42,10,14,0,66
