Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\impl\NotifyService.java,15,13,0,3,0,16
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-multiple\src\test\java\org\apache\dubbo\registry\multiple\MultipleRegistry2S2RTest.java,144,65,6,43,0,114
dubbo-3.0\dubbo-3.0\dubbo-compatible\src\test\java\org\apache\dubbo\generic\GenericServiceTest.java,239,110,2,64,0,176
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\CustomArgument.java,30,22,1,1,0,24
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-triple\src\main\java\org\apache\dubbo\rpc\protocol\tri\RequestMetadata.java,53,34,0,4,0,38
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\ClusterScopeModelInitializer.java,21,6,0,1,0,7
dubbo-3.0\dubbo-3.0\dubbo-compatible\src\main\java\com\alibaba\dubbo\container\page\ResourceFilter.java,111,19,4,3,0,26
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-api\src\test\java\org\apache\dubbo\registry\SimpleRegistryFactory.java,8,4,0,1,0,5
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\duplicated\impl\DuplicatedWithoutOverriddenExt2.java,8,2,0,3,0,5
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-processor\src\test\java\org\apache\dubbo\metadata\annotation\processing\util\ServiceAnnotationUtilsTest.java,85,22,2,29,0,53
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\rpc\support\ProtocolUtilsTest.java,55,20,0,7,0,27
dubbo-3.0\dubbo-3.0\dubbo-native\src\main\java\org\apache\dubbo\utils\ClassFinder.java,63,22,2,9,0,33
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-triple\src\test\java\org\apache\dubbo\rpc\protocol\tri\stream\StreamUtilsTest.java,0,1,0,2,0,3
dubbo-3.0\dubbo-3.0\dubbo-spring-boot\dubbo-spring-boot-actuator\src\main\java\org\apache\dubbo\spring\boot\actuate\endpoint\DubboServicesMetadataEndpoint.java,11,5,0,3,0,8
dubbo-3.0\dubbo-3.0\dubbo-compatible\src\main\java\com\alibaba\dubbo\rpc\RpcContext.java,357,129,3,9,0,141
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\metadata\MetadataServiceURLParamsMetadataCustomizer.java,34,17,1,14,0,32
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-zookeeper\src\test\java\org\apache\dubbo\registry\zookeeper\ZookeeperServiceDiscoveryTest.java,77,20,3,8,0,31
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\beans\factory\annotation\AnnotationPropertyValuesAdapter.java,50,28,0,7,0,35
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-multiple\src\main\java\org\apache\dubbo\registry\multiple\MultipleServiceDiscovery.java,192,98,3,37,0,138
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionInjector.java,0,1,1,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\merger\ResultMergerTest.java,421,116,10,30,0,156
dubbo-3.0\dubbo-3.0\dubbo-demo\dubbo-demo-interface\src\main\java\org\apache\dubbo\demo\RestDemoService.java,0,4,0,1,0,5
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-rest\src\main\java\org\apache\dubbo\rpc\protocol\rest\DubboResourceFactory.java,50,19,2,3,0,24
dubbo-3.0\dubbo-3.0\dubbo-compatible\src\test\java\org\apache\dubbo\cache\MyCacheFactory.java,8,2,0,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-serialization\dubbo-serialization-api\src\main\java\org\apache\dubbo\common\serialize\support\SerializableClassRegistry.java,37,12,0,4,0,16
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-dubbo\src\test\java\org\apache\dubbo\rpc\protocol\dubbo\ArgumentCallbackTest.java,348,113,15,23,0,151
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\config\context\ConfigMode.java,0,6,0,3,0,9
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-dubbo\src\main\java\org\apache\dubbo\rpc\protocol\dubbo\filter\TraceFilter.java,83,33,2,16,0,51
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\test\java\org\apache\dubbo\rpc\stub\StubSuppliersTest.java,0,3,4,3,0,10
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\model\User.java,52,26,2,2,0,30
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\rpc\support\DemoService.java,0,2,0,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ExtensionLoader_Adaptive_Test.java,278,88,28,42,0,158
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-injvm\src\test\java\org\apache\dubbo\rpc\protocol\injvm\ProtocolTest.java,43,18,3,7,0,28
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\convert\String2BooleanConverter.java,3,3,0,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\command\impl\MockLivenessProbe.java,13,5,0,1,0,6
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-http\src\main\java\org\apache\dubbo\remoting\http\jetty\JettyHttpBinder.java,9,5,0,1,0,6
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-processor\src\test\java\org\apache\dubbo\metadata\rest\User.java,38,24,0,2,0,26
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-triple\src\test\java\org\apache\dubbo\rpc\protocol\tri\support\MockStreamObserver.java,39,18,0,1,0,19
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-api\src\test\java\org\apache\dubbo\registry\client\metadata\ServiceInstanceHostPortCustomizerTest.java,0,17,2,12,0,31
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\ServiceBeanTest.java,26,5,1,1,0,7
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\config\support\Parameter.java,0,13,0,2,0,15
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\activate\impl\OldActivateExt1Impl3.java,6,3,0,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-filter\dubbo-filter-cache\src\main\java\org\apache\dubbo\cache\support\expiring\ExpiringMap.java,0,107,1,7,0,115
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\URLStrParser.java,0,105,3,35,0,143
dubbo-3.0\dubbo-3.0\dubbo-metadata\dubbo-metadata-processor\src\main\java\org\apache\dubbo\metadata\annotation\processing\builder\ArrayTypeDefinitionBuilder.java,23,15,0,5,0,20
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\api\Http2ProtocolDetectorTest.java,24,2,0,1,0,3
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-netty4\src\test\java\org\apache\dubbo\remoting\transport\netty4\MockResult.java,14,5,0,1,0,6
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\Version.java,0,84,8,20,0,112
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\DubboShutdownHook.java,78,17,4,7,0,28
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-http\src\main\java\org\apache\dubbo\remoting\http\support\AbstractHttpServer.java,103,30,7,2,0,39
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\PathResolver.java,0,7,0,2,0,9
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\filter\CompatibleFilter.java,0,24,4,14,0,42
dubbo-3.0\dubbo-3.0\dubbo-common\src\main\java\org\apache\dubbo\common\threadpool\support\cached\CachedThreadPool.java,17,8,1,8,0,17
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\config\EnvironmentConfigurationTest.java,74,20,7,14,0,41
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-triple\src\main\java\org\apache\dubbo\rpc\protocol\tri\compressor\DeCompressor.java,0,5,0,3,0,8
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-triple\src\main\java\org\apache\dubbo\rpc\protocol\tri\call\AbstractServerCall.java,0,116,6,22,0,144
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-dubbo\src\test\java\org\apache\dubbo\rpc\protocol\dubbo\FutureFilterTest.java,46,7,0,2,0,9
dubbo-3.0\dubbo-3.0\dubbo-filter\dubbo-filter-validation\src\test\java\org\apache\dubbo\validation\support\jvalidation\mock\JValidatorTestTarget.java,0,6,0,1,0,7
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-auth\src\test\java\org\apache\dubbo\auth\utils\SignatureUtilsTest.java,34,6,1,2,0,9
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-http\src\main\java\org\apache\dubbo\remoting\http\HttpHandler.java,0,1,0,2,0,3
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-injvm\src\main\java\org\apache\dubbo\rpc\protocol\injvm\InjvmProtocol.java,78,26,2,12,0,40
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\SysProps.java,22,9,1,2,0,12
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\common\extension\ext1\SimpleExt.java,0,5,0,1,0,6
dubbo-3.0\dubbo-3.0\dubbo-compatible\src\main\java\com\alibaba\dubbo\config\ApplicationConfig.java,0,5,0,2,0,7
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-rest\src\main\java\org\apache\dubbo\rpc\protocol\rest\RpcContextFilter.java,0,22,0,15,0,37
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-netty\src\test\java\org\apache\dubbo\remoting\transport\netty\NettyStringTest.java,35,12,2,3,0,17
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-auth\src\main\java\org\apache\dubbo\auth\exception\RpcAuthenticationException.java,13,6,1,1,0,8
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\beans\factory\annotation\ServiceAnnotationPostProcessorTest.java,53,16,0,9,0,25
dubbo-3.0\dubbo-3.0\dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\legacy\service\Man.java,23,15,0,1,0,16
dubbo-3.0\dubbo-3.0\dubbo-remoting\dubbo-remoting-api\src\test\java\org\apache\dubbo\remoting\telnet\TelnetUtilsTest.java,46,18,0,1,0,19
dubbo-3.0\dubbo-3.0\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\filter\tps\TPSLimiter.java,0,3,0,3,0,6
dubbo-3.0\dubbo-3.0\dubbo-spring-boot\dubbo-spring-boot-compatible\actuator\src\main\java\org\apache\dubbo\spring\boot\actuate\endpoint\DubboEndpoint.java,0,7,0,2,0,9
dubbo-3.0\dubbo-3.0\dubbo-common\src\test\java\org\apache\dubbo\metadata\definition\common\ColorEnum.java,0,3,0,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-registry\dubbo-registry-zookeeper\src\main\java\org\apache\dubbo\registry\zookeeper\ZookeeperServiceDiscoveryChangeWatcher.java,68,41,1,14,0,56
dubbo-3.0\dubbo-3.0\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\mesh\util\MeshRuleListener.java,0,3,0,1,0,4
dubbo-3.0\dubbo-3.0\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\context\DubboSpringInitializer.java,165,58,7,33,0,98
