Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 kafka-trunk\kafka-trunk\connect\file\src\test\java\org\apache\kafka\connect\file\FileStreamSinkTaskTest.java,78,0,1,12,5,18
 kafka-trunk\kafka-trunk\clients\src\test\java\org\apache\kafka\clients\consumer\ConsumerConfigTest.java,78,0,1,29,0,30
 pulsar-master\pulsar-master\pulsar-common\src\test\java\org\apache\pulsar\common\util\netty\ChannelFuturesTest.java,78,30,5,10,0,45
 pulsar-master\pulsar-master\pulsar-io\hdfs2\src\main\java\org\apache\pulsar\io\hdfs2\sink\HdfsSinkConfig.java,78,21,2,15,0,38
 pulsar-master\pulsar-master\pulsar-client\src\main\java\org\apache\pulsar\client\impl\schema\reader\AvroReader.java,78,35,0,10,0,45
 pulsar-master\pulsar-master\pulsar-functions\instance\src\main\java\org\apache\pulsar\functions\windowing\WindowImpl.java,78,32,0,5,0,37
 pulsar-master\pulsar-master\pulsar-websocket\src\main\java\org\apache\pulsar\websocket\service\WebSocketServiceStarter.java,78,28,1,20,0,49
 pulsar-master\pulsar-master\pulsar-client\src\main\java\org\apache\pulsar\client\impl\schema\ShortSchema.java,78,21,1,3,0,25
 rocketmq-develop\rocketmq-develop\test\src\main\java\org\apache\rocketmq\test\client\rmq\RMQTransactionalProducer.java,78,29,0,7,4,40
 rocketmq-develop\rocketmq-develop\test\src\test\java\org\apache\rocketmq\test\client\producer\transaction\TransactionalMsgIT.java,78,31,1,11,0,43
 rocketmq-develop\rocketmq-develop\common\src\test\java\org\apache\rocketmq\common\protocol\route\TopicRouteDataTest.java,78,21,4,9,0,34
 rocketmq-develop\rocketmq-develop\client\src\test\java\org\apache\rocketmq\client\impl\consumer\ProcessQueueTest.java,78,27,0,3,0,30
 rocketmq-develop\rocketmq-develop\broker\src\main\java\org\apache\rocketmq\broker\filter\CommitLogDispatcherCalcBitMap.java,78,25,6,12,2,45
